image,Epsilon,label,runtime,network,ds
187,0.057,2,7114.169125795364,mnist-net,train
189,0.045,2,3388.18124461174,mnist-net,train
190,0.043,2,9248.257155895231,mnist-net,train
199,0.025,2,2528.694269657135,mnist-net,train
213,0.053,2,3406.474739551544,mnist-net,train
220,0.077,2,9264.179414987564,mnist-net,train
233,0.035,2,732.401956319809,mnist-net,train
252,0.067,2,5783.433541297913,mnist-net,train
253,0.045,2,4281.750669002533,mnist-net,train
262,0.031,2,11944.13165307045,mnist-net,train
268,0.033,2,4640.524628400803,mnist-net,train
277,0.047,2,3519.5861599445343,mnist-net,train
308,0.047,2,3804.658066272736,mnist-net,train
317,0.045,2,4850.464793682098,mnist-net,train
318,0.021,2,890.5184900760651,mnist-net,train
325,0.033,2,3708.301793575287,mnist-net,train
339,0.041,2,1639.905936002731,mnist-net,train
347,0.053,2,1277.8342361450195,mnist-net,train
360,0.053,2,3955.3066074848175,mnist-net,train
365,0.047,2,3364.344337463379,mnist-net,train
375,0.051,2,6888.884863615036,mnist-net,train
378,0.043,2,3039.9516594409943,mnist-net,train
381,0.037,2,6345.913993358612,mnist-net,train
385,0.059,2,4478.38285112381,mnist-net,train
390,0.021,2,842.9027309417725,mnist-net,train
391,0.005,2,112.80103158950806,mnist-net,train
400,0.041,2,4516.897794723511,mnist-net,train
410,0.051,2,8107.718014240265,mnist-net,train
432,0.045,2,4126.744925260544,mnist-net,train
444,0.031,2,7124.142702817917,mnist-net,train
448,0.027,2,1057.5450928211212,mnist-net,train
457,0.029,2,2227.39768910408,mnist-net,train
472,0.041,2,6811.888138771057,mnist-net,train
476,0.037,2,4651.422261476517,mnist-net,train
477,0.025,2,825.31245470047,mnist-net,train
493,0.021,2,1099.2757234573364,mnist-net,train
515,0.033,2,913.6008639335632,mnist-net,train
530,0.029,2,3653.401711940765,mnist-net,train
548,0.043,2,4040.8425552845,mnist-net,train
551,0.019,2,916.43701171875,mnist-net,train
555,0.029,2,3774.588451385498,mnist-net,train
558,0.017,2,4351.569342374802,mnist-net,train
563,0.011,2,494.63039541244507,mnist-net,train
568,0.025,2,1280.7623949050903,mnist-net,train
570,0.051,2,5083.942127943039,mnist-net,train
584,0.009,2,2052.743033885956,mnist-net,train
588,0.031,2,3421.425496578217,mnist-net,train
591,0.037,2,3557.969889640808,mnist-net,train
619,0.029,2,3696.3060007095337,mnist-net,train
642,0.047,2,3580.8843371868134,mnist-net,train
646,0.019,2,785.5054910182953,mnist-net,train
650,0.033,2,1173.178015947342,mnist-net,train
657,0.021,2,3536.910399198532,mnist-net,train
664,0.053,2,7010.435582876205,mnist-net,train
673,0.035,2,5483.65475320816,mnist-net,train
674,0.015,2,376.3501558303833,mnist-net,train
684,0.039,2,2589.0302679538727,mnist-net,train
688,0.037,2,3604.505260229111,mnist-net,train
693,0.031,2,563.2839822769165,mnist-net,train
696,0.015,2,853.4245874881744,mnist-net,train
713,0.035,2,610.4017140865326,mnist-net,train
714,0.045,2,3835.556150436402,mnist-net,train
716,0.027,2,3687.6077551841736,mnist-net,train
