epsilon,result,label,runtime,network,image,ds
0.031,unsat,0,2.056647539138794,mnist-net,294,test
0.029,cancelled,0,0.4826157093048095,mnist-net,294,test
0.051,sat,0,3.0242905616760254,mnist-net,294,test
0.039,unsat,0,139.40305304527283,mnist-net,294,test
0.045,sat,0,67.14111542701721,mnist-net,294,test
0.041,unsat,0,234.9769411087036,mnist-net,294,test
0.043,unsat,0,396.8692886829376,mnist-net,294,test
0.265,sat,0,2.1569454669952397,mnist-net,296,test
0.133,sat,0,3.120957136154175,mnist-net,296,test
0.131,sat,0,3.1589832305908203,mnist-net,296,test
0.063,unsat,0,118.96088314056396,mnist-net,296,test
0.097,sat,0,18.48795485496521,mnist-net,296,test
0.065,unsat,0,232.5648317337036,mnist-net,296,test
0.079,unsat,0,2228.931915998459,mnist-net,296,test
0.089,sat,0,38.58921217918396,mnist-net,296,test
0.081,unsat,0,3402.677833080292,mnist-net,296,test
0.085,unsat,0,3472.8273282051086,mnist-net,296,test
0.083,cancelled,0,2431.243290901184,mnist-net,296,test
0.087,sat,0,41.31199026107788,mnist-net,296,test
0.265,sat,0,3.1694822311401367,mnist-net,297,test
0.133,sat,0,5.016736507415772,mnist-net,297,test
0.131,sat,0,4.767643928527832,mnist-net,297,test
0.063,unsat,0,2781.6422827243805,mnist-net,297,test
0.097,sat,0,3.488823175430298,mnist-net,297,test
0.081,sat,0,3.2903614044189453,mnist-net,297,test
0.073,sat,0,3.4517569541931152,mnist-net,297,test
0.069,sat,0,3.4048986434936523,mnist-net,297,test
0.065,unsat,0,3549.921380758285,mnist-net,297,test
0.067,unsat,0,3323.8688287734985,mnist-net,297,test
0.265,sat,0,2.1135072708129883,mnist-net,3,test
0.133,sat,0,3.212398052215576,mnist-net,3,test
0.131,sat,0,3.0168440341949463,mnist-net,3,test
0.065,sat,0,17.89824628829956,mnist-net,3,test
0.063,sat,0,17.919803619384766,mnist-net,3,test
0.031,unsat,0,1.640679121017456,mnist-net,3,test
0.029,cancelled,0,0.0314259529113769,mnist-net,3,test
0.041,unsat,0,103.94347405433656,mnist-net,3,test
0.051,unsat,0,3364.3867020606995,mnist-net,3,test
0.053,unsat,0,3335.099332809448,mnist-net,3,test
0.059,sat,0,51.180089235305786,mnist-net,3,test
0.057,unsat,0,3252.0128746032715,mnist-net,3,test
0.055,cancelled,0,3122.305525302887,mnist-net,3,test
0.265,sat,0,2.1664719581604004,mnist-net,305,test
0.133,sat,0,3.2018463611602783,mnist-net,305,test
0.131,sat,0,3.1512842178344727,mnist-net,305,test
0.065,sat,0,3.198007106781006,mnist-net,305,test
0.063,sat,0,2.927415370941162,mnist-net,305,test
0.029,unsat,0,1.7738680839538574,mnist-net,305,test
0.031,unsat,0,7.024273872375488,mnist-net,305,test
0.047,sat,0,2.0169403553009038,mnist-net,305,test
0.045,sat,0,3.056050539016724,mnist-net,305,test
0.039,sat,0,3.5139353275299072,mnist-net,305,test
0.033,unsat,0,32.41970419883728,mnist-net,305,test
0.035,unsat,0,78.44079113006592,mnist-net,305,test
0.037,unsat,0,134.73324298858645,mnist-net,305,test
0.265,sat,0,2.180304765701294,mnist-net,311,test
0.133,sat,0,3.1454832553863525,mnist-net,311,test
0.131,sat,0,3.0923006534576416,mnist-net,311,test
0.063,unsat,0,38.55185532569885,mnist-net,311,test
0.065,unsat,0,73.48682713508606,mnist-net,311,test
0.097,sat,0,29.798383712768555,mnist-net,311,test
0.099,cancelled,0,3.4118411540985107,mnist-net,311,test
0.085,sat,0,47.73560667037964,mnist-net,311,test
0.073,unsat,0,2046.18288898468,mnist-net,311,test
0.075,unsat,0,3282.286837339401,mnist-net,311,test
0.079,timeout,0,3600.0,mnist-net,311,test
0.081,unsat,0,3267.670496702194,mnist-net,311,test
0.077,cancelled,0,858.5236794948578,mnist-net,311,test
0.083,unsat,0,3357.151317358017,mnist-net,311,test
0.265,sat,0,3.544877052307129,mnist-net,312,test
0.133,sat,0,3.5922677516937256,mnist-net,312,test
0.131,sat,0,3.406806230545044,mnist-net,312,test
0.063,unsat,0,3421.3076660633087,mnist-net,312,test
0.097,sat,0,2.1345314979553223,mnist-net,312,test
0.081,sat,0,51.1065731048584,mnist-net,312,test
0.065,unsat,0,3569.6399145126343,mnist-net,312,test
0.071,unsat,0,3323.0362350940704,mnist-net,312,test
0.073,timeout,0,3600.0,mnist-net,312,test
0.077,unsat,0,3386.3043258190155,mnist-net,312,test
0.075,cancelled,0,3199.9067838191986,mnist-net,312,test
0.079,sat,0,65.24479532241821,mnist-net,312,test
0.133,sat,0,2.7464823722839355,mnist-net,324,test
0.265,sat,0,2.7393147945404053,mnist-net,324,test
0.265,cancelled,0,7.1115882396698,mnist-net,324,test
0.087,sat,0,4.432674884796143,mnist-net,324,test
0.043,sat,0,4.429049491882324,mnist-net,324,test
0.019,sat,0,2.846130609512329,mnist-net,324,test
0.041,cancelled,0,6.096924781799316,mnist-net,324,test
0.011,unsat,0,2.286336660385132,mnist-net,324,test
0.005,cancelled,0,5.322108030319214,mnist-net,324,test
0.013,unsat,0,50.72516632080078,mnist-net,324,test
0.017,sat,0,22.43693947792053,mnist-net,324,test
0.015,unsat,0,154.01236772537231,mnist-net,324,test
0.265,sat,0,2.1675801277160645,mnist-net,327,test
0.133,sat,0,3.134665012359619,mnist-net,327,test
0.131,sat,0,3.08260440826416,mnist-net,327,test
0.063,unsat,0,3331.8632650375366,mnist-net,327,test
0.097,sat,0,3.560385227203369,mnist-net,327,test
0.065,unsat,0,3382.074896812439,mnist-net,327,test
0.081,sat,0,35.599966049194336,mnist-net,327,test
0.071,sat,0,19.13771247863769,mnist-net,327,test
0.079,cancelled,0,23.66883134841919,mnist-net,327,test
0.069,sat,0,19.70652318000793,mnist-net,327,test
0.067,sat,0,22.57183003425598,mnist-net,327,test
0.265,sat,0,3.5156171321868896,mnist-net,346,test
0.133,sat,0,3.56714940071106,mnist-net,346,test
0.065,sat,0,3.56174635887146,mnist-net,346,test
0.131,cancelled,0,5.786952495574951,mnist-net,346,test
0.021,unsat,0,8.550749063491821,mnist-net,346,test
0.043,sat,0,3.377542734146118,mnist-net,346,test
0.041,sat,0,17.392029523849487,mnist-net,346,test
0.031,sat,0,1.67578387260437,mnist-net,346,test
0.029,sat,0,13.780943870544434,mnist-net,346,test
0.023,unsat,0,39.9517765045166,mnist-net,346,test
0.025,unsat,0,87.64289236068726,mnist-net,346,test
